sampleID	NCBI_accession
AsnicarF_2017__MV_FEI1_t1Q14	SRR4052021
AsnicarF_2017__MV_FEI2_t1Q14	SRR4052022
AsnicarF_2017__MV_FEI3_t1Q14	SRR4052033
AsnicarF_2017__MV_FEI4_t1Q14	SRR4052038
AsnicarF_2017__MV_FEI4_t2Q15	SRR4052039
AsnicarF_2017__MV_FEI5_t1Q14	SRR4052040
AsnicarF_2017__MV_FEI5_t2Q14	SRR4052041
AsnicarF_2017__MV_FEI5_t3Q15	SRR4052042
AsnicarF_2017__MV_FEM1_t1Q14	SRR4052043
AsnicarF_2017__MV_FEM2_t1Q14	SRR4052044
AsnicarF_2017__MV_FEM3_t1Q14	SRR4052023
AsnicarF_2017__MV_FEM4_t1Q14	SRR4052024
AsnicarF_2017__MV_FEM4_t2Q15	SRR4052025
AsnicarF_2017__MV_FEM5_t1Q14	SRR4052026
AsnicarF_2017__MV_FEM5_t2Q14	SRR4052027
AsnicarF_2017__MV_FEM5_t3Q15	SRR4052028
AsnicarF_2017__MV_MIM2_t1M14	SRR4052030
AsnicarF_2017__MV_MIM3_t1M14	SRR4052031
AsnicarF_2017__MV_MIM4_t2F15	SRR4052034
AsnicarF_2017__MV_MIM5_t2M14	SRR4052036
AsnicarF_2017__MV_MIM5_t3F15	SRR4052037
BackhedF_2015__SID1_12M	ERR525700
BackhedF_2015__SID1_4M	ERR525721
BackhedF_2015__SID1_B	ERR525758
BackhedF_2015__SID1_M	ERR525759
BackhedF_2015__SID10_12M	ERR525688
BackhedF_2015__SID10_4M	ERR525693
BackhedF_2015__SID10_B	ERR525698
BackhedF_2015__SID10_M	ERR525699
BackhedF_2015__SID103_12M	ERR525689
BackhedF_2015__SID103_4M	ERR525690
BackhedF_2015__SID103_B	ERR525691
BackhedF_2015__SID103_M	ERR525692
BackhedF_2015__SID105_12M	ERR525694
BackhedF_2015__SID105_4M	ERR525695
BackhedF_2015__SID105_B	ERR525696
BackhedF_2015__SID105_M	ERR525697
BackhedF_2015__SID12_12M	ERR525701
BackhedF_2015__SID12_4M	ERR525702
BackhedF_2015__SID12_B	ERR525707
BackhedF_2015__SID12_M	ERR525708
BackhedF_2015__SID128_12M	ERR525703
BackhedF_2015__SID128_4M	ERR525704
BackhedF_2015__SID128_B	ERR525705
BackhedF_2015__SID128_M	ERR525706
BackhedF_2015__SID130_12M	ERR525709
BackhedF_2015__SID130_4M	ERR525710
BackhedF_2015__SID130_B	ERR525711
BackhedF_2015__SID130_M	ERR525712
BackhedF_2015__SID133_12M	ERR525713
BackhedF_2015__SID133_4M	ERR525714
BackhedF_2015__SID133_B	ERR525715
BackhedF_2015__SID133_M	ERR525716
