study	sample	body_site	country
FengQ_2015	SID31004	Stool	Austria
FengQ_2015	SID31009	Stool	Austria
FengQ_2015	SID31021	Stool	Austria
FengQ_2015	SID31030	Stool	Austria
FengQ_2015	SID31071	Stool	Austria
FengQ_2015	SID31112	Stool	Austria
FengQ_2015	SID31129	Stool	Austria
FengQ_2015	SID31137	Stool	Austria
FengQ_2015	SID31159	Stool	Austria
FengQ_2015	SID31160	Stool	Austria
FengQ_2015	SID31188	Stool	Austria
FengQ_2015	SID31219	Stool	Austria
FengQ_2015	SID31223	Stool	Austria
FengQ_2015	SID31233	Stool	Austria
FengQ_2015	SID31236	Stool	Austria
FengQ_2015	SID31237	Stool	Austria
FengQ_2015	SID31256	Stool	Austria
FengQ_2015	SID31267	Stool	Austria
FengQ_2015	SID31275	Stool	Austria
FengQ_2015	SID31276	Stool	Austria
FengQ_2015	SID31282	Stool	Austria
FengQ_2015	SID31285	Stool	Austria
FengQ_2015	SID31300	Stool	Austria
FengQ_2015	SID31328	Stool	Austria
FengQ_2015	SID31333	Stool	Austria
FengQ_2015	SID31337	Stool	Austria
FengQ_2015	SID31343	Stool	Austria
FengQ_2015	SID31360	Stool	Austria
FengQ_2015	SID31367	Stool	Austria
FengQ_2015	SID31379	Stool	Austria
FengQ_2015	SID31398	Stool	Austria
FengQ_2015	SID31416	Stool	Austria
FengQ_2015	SID31424	Stool	Austria
FengQ_2015	SID31428	Stool	Austria
FengQ_2015	SID31431	Stool	Austria
FengQ_2015	SID31446	Stool	Austria
FengQ_2015	SID31449	Stool	Austria
FengQ_2015	SID31450	Stool	Austria
FengQ_2015	SID31452	Stool	Austria
FengQ_2015	SID31455	Stool	Austria
FengQ_2015	SID31477	Stool	Austria
FengQ_2015	SID31489	Stool	Austria
FengQ_2015	SID31493	Stool	Austria
FengQ_2015	SID31501	Stool	Austria
FengQ_2015	SID31512	Stool	Austria
FengQ_2015	SID31519	Stool	Austria
FengQ_2015	SID31537	Stool	Austria
FengQ_2015	SID31549	Stool	Austria
FengQ_2015	SID31557	Stool	Austria
FengQ_2015	SID31582	Stool	Austria
FengQ_2015	SID31637	Stool	Austria
FengQ_2015	SID31685	Stool	Austria
FengQ_2015	SID31700	Stool	Austria
FengQ_2015	SID31705	Stool	Austria
FengQ_2015	SID31711	Stool	Austria
FengQ_2015	SID31714	Stool	Austria
FengQ_2015	SID31723	Stool	Austria
FengQ_2015	SID31749	Stool	Austria
FengQ_2015	SID31750	Stool	Austria
FengQ_2015	SID31766	Stool	Austria
FengQ_2015	SID31865	Stool	Austria
FengQ_2015	SID31866	Stool	Austria
FengQ_2015	SID31868	Stool	Austria
FengQ_2015	SID31870	Stool	Austria
FengQ_2015	SID31871	Stool	Austria
FengQ_2015	SID31872	Stool	Austria
FengQ_2015	SID31873	Stool	Austria
